id;value
1;English
2;Mandarin Chinese
3;Spanish
4;Hindi
5;Arabic
6;Bengali
7;Portuguese
8;Ukrainian
9;Urdu
10;Indonesian
11;German
12;Turkish
13;French
14;Malay
15;Vietnamese
16;Japanese
17;Swahili
18;Korean
19;Telugu
20;Marathi
21;Tamil
22;Italian
23;Yoruba
24;Thai
25;Dutch
26;Kannada
27;Gujarati
28;Javanese
29;Polish
30;Filipino
31;Uzbek
32;Sindhi
33;Amharic
34;Farsi (Persian)
35;Romanian
36;Odia
37;Burmese
38;Yoruba
39;Malayalam
40;Bhojpuri
41;Hausa
42;Punjabi
43;Burmese
44;Tagalog
45;Sundanese
46;Nepali
47;Sinhala
48;Serbo-Croatian
49;Uyghur
50;Maithili
